"id","title","description","avatar","slug","is_active","is_featured","favorite_id","user_id","category_id","created_at","updated_at","deleted_at"
"1","Welcome to Our Blog","This is the first post on our blog, created by the admin.",NULL,"welcome-to-our-blog","1","1",NULL,"2","1","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"2","Teaching Tips for Success","Helpful tips for teachers to succeed in the classroom.",NULL,"teaching-tips-for-success","1","0",NULL,"4","2","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"3","Latest Technology Trends","An overview of the latest trends in technology.",NULL,"latest-technology-trends","1","0",NULL,"2","1","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"4","Classroom Management Strategies","Effective strategies for managing a classroom.",NULL,"classroom-management-strategies","1","0",NULL,"4","2","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"5","Health and Wellness Tips","Tips for maintaining health and wellness.",NULL,"health-and-wellness-tips","1","0",NULL,"2","3","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"id","student_id","user_id","title","description","fecha_entrega","status","created_at","updated_at"
"1",NULL,"4","Tarea: Entrega de proyecto de matemáticas","Completar el proyecto sobre álgebra y entregarlo en formato PDF.","2025-06-10","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"2",NULL,"4","Tarea: Lectura de capítulo 5 de historia","Leer y resumir el capítulo 5 para discusión en clase.","2025-06-20","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"3",NULL,"4","Examen: Matemáticas","Examen final de matemáticas, temas álgebra y geometría.","2025-06-15","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"4",NULL,"4","Examen: Historia","Examen de historia sobre la revolución industrial.","2025-06-25","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"5",NULL,"4","Presentación: Proyecto de ciencias","Presentar el proyecto de ciencias en clase.","2025-06-30","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"id","student_id","materia_id","grade","lapso","anio_escolar","created_at","updated_at"
"1","1","1","8.93","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"2","1","2","12.67","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"3","1","3","7.92","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"4","1","4","8.96","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"5","1","5","9.28","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"6","2","1","14.24","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"7","2","2","9.22","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"8","2","3","10.50","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"9","2","4","17.51","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"10","2","5","16.55","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"11","3","1","7.25","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"12","3","2","11.38","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"13","3","3","12.56","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"14","3","4","8.02","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"15","3","5","8.41","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"16","4","1","5.35","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"17","4","2","5.00","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"18","4","3","9.07","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"19","4","4","8.91","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"20","4","5","10.67","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"21","5","1","8.06","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"22","5","2","12.96","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"23","5","3","17.64","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"24","5","4","10.18","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"25","5","5","7.09","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"26","6","1","8.57","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"27","6","2","14.00","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"28","6","3","7.24","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"29","6","4","12.98","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"30","6","5","6.08","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"31","7","1","17.95","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"32","7","2","12.41","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"33","7","3","8.00","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"34","7","4","4.79","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"35","7","5","10.28","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"36","8","1","6.49","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"37","8","2","6.81","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"38","8","3","13.69","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"39","8","4","9.15","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"40","8","5","13.84","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"41","9","1","18.24","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"42","9","2","12.09","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"43","9","3","7.37","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"44","9","4","10.05","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"45","9","5","7.86","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"46","10","1","11.59","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"47","10","2","14.87","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"48","10","3","7.68","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"49","10","4","14.21","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"50","10","5","14.37","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"51","11","1","12.74","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"52","11","2","7.73","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"53","11","3","12.32","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"54","11","4","14.92","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"55","11","5","14.03","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"56","12","1","14.09","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"57","12","2","7.74","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"58","12","3","12.66","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"59","12","4","7.14","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"60","12","5","4.25","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"61","13","1","11.49","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"62","13","2","8.37","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"63","13","3","11.80","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"64","13","4","1.00","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"65","13","5","14.07","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"66","14","1","13.15","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"67","14","2","6.09","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"68","14","3","4.83","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"69","14","4","6.35","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"70","14","5","13.63","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"71","15","1","15.96","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"72","15","2","12.70","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"73","15","3","11.79","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"74","15","4","14.08","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"75","15","5","7.87","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"76","16","1","12.76","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"77","16","2","10.58","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"78","16","3","8.90","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:10"
"79","16","4","9.52","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"80","16","5","11.91","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"81","17","1","6.02","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"82","17","2","7.92","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
